code,name,brand,longitude,latitude
0000000810,松屋 新宿3丁目店,松屋,139.706772,35.691792
0000000811,松屋 御殿場店,松屋,138.921677,35.298431
0000000812,松屋 あざみ野店,松屋,139.552292,35.568481
0000000813,松屋 上飯田店,松屋,136.929489,35.203304
0000000814,松屋 平和島店,松屋,139.734436,35.578655
0000000815,松屋 三鷹店,松屋,139.561127,35.703331
0000000817,松屋 成城学園前店（マイカリー食堂併設）,松屋,139.600098,35.639996
0000000821,松屋 小倉駅前店（松のや併設）,松屋,130.880875,33.886131
0000000823,松屋 南越谷店,松屋,139.791122,35.875626
0000000824,松屋 日暮里店,松屋,139.771805,35.729454
0000000825,松屋 桜新町店,松屋,139.644379,35.631531
0000000826,松屋 落合店,松屋,139.684021,35.710297
0000000827,松屋 参宮橋店,松屋,139.692841,35.678349
0000000828,松屋 幡ヶ谷店,松屋,139.677673,35.677650
0000000829,松屋 瑞江店,松屋,139.898895,35.693054
0000000830,松屋 坂戸店,松屋,139.398651,35.954559
0000000833,松屋 大鳥居店,松屋,139.739487,35.552204
0000000835,松屋 札幌駅前通店,松屋,141.352280,43.063015
0000000837,松屋 渋谷清水橋店,松屋,139.681808,35.688801
0000000838,松屋 平和台店（マイカリー食堂併設）,松屋,139.653259,35.758091
0000000839,松屋 新小岩北口店,松屋,139.857483,35.717785
0000000840,松屋 西中島店,松屋,135.496857,34.728008
0000000841,松屋 大船駅前店,松屋,139.531464,35.351353
0000000842,松屋 南森町駅前店,松屋,135.512131,34.697624
0000000843,松屋 越谷下間久里店（松のや併設）,松屋,139.780869,35.928902
0000000844,松屋 大森北口店,松屋,139.730087,35.589386
0000000845,松屋 東陽町店,松屋,139.816513,35.670238
0000000846,松屋 尼崎潮江店,松屋,135.432114,34.735085
0000000847,松屋 三国店,松屋,135.483841,34.737442
0000000848,松屋 新潟万代シテイ店（松のや併設）,松屋,139.057236,37.916477
0000000849,松屋 天満橋店,松屋,135.516968,34.686863
0000000850,松屋 仙川店,松屋,139.584534,35.661591
0000000852,松屋 阪急高槻市駅前店,松屋,135.622604,34.849224
0000000853,松屋 末広街道店,松屋,140.125748,35.597008
0000000854,松屋 亀有南口店,松屋,139.849152,35.765591
0000000856,松屋 枚方市役所前店,松屋,135.649445,34.814941
0000000857,松屋 南林間店,松屋,139.447281,35.495365
0000000859,松屋 日本橋店,松屋,135.506012,34.667824
0000000860,松屋 川西能勢口店（マイカリー食堂併設）,松屋,135.413696,34.829121
0000000861,松屋 茗荷谷店（マイカリー食堂併設）,松屋,139.737762,35.716976
0000000862,松屋 さがみ野店,松屋,139.428848,35.471260
0000000864,松屋 分倍河原店,松屋,139.470016,35.668934
0000000866,松屋 東伏見店,松屋,139.563904,35.728432
0000000867,松屋 垂水店,松屋,135.054916,34.630203
0000000868,松屋 西葛西店,松屋,139.858887,35.666176
0000000869,松屋 姫路飾磨店,松屋,134.650681,34.797260
0000000870,松屋 南大沢店,松屋,139.380569,35.613667
0000000871,松屋 馬橋店,松屋,139.917999,35.811806
0000000873,松屋 北千住店（マイカリー食堂併設）,松屋,139.803970,35.749725
0000000874,松屋 調布駅前店,松屋,139.544739,35.652508
0000000875,松屋 下石神井店（マイカリー食堂併設）,松屋,139.607391,35.727737
0000000876,松屋 幕張本郷1丁目店,松屋,140.040451,35.672367
0000000878,松屋 六甲道店,松屋,135.239868,34.714371
0000000879,松屋 北習志野店,松屋,140.042648,35.722355
0000000881,松屋 六地蔵店,松屋,135.792999,34.934883
0000000883,松屋 京成小岩店（マイカリー食堂併設）,松屋,139.883865,35.742340
0000000884,松屋 渋谷道玄坂上店,松屋,139.696381,35.657463
0000000885,松屋 北24条店,松屋,141.343903,43.089813
0000000887,松屋 十三東口店,松屋,135.483429,34.719704
0000000888,松屋 春木店,松屋,135.390198,34.479195
0000000889,松屋 南千住店,松屋,139.798203,35.733074
0000000890,松屋 椎名町店,松屋,139.694656,35.726753
0000000891,松屋 尼崎アマドゥ店,松屋,135.398254,34.712391
0000000892,松屋 武蔵小金井店,松屋,139.507294,35.700546
0000000893,松屋 狭山市駅前店,松屋,139.412247,35.858047
0000000894,松屋 今津店,松屋,135.352264,34.730785
0000000895,松屋 京橋片町店,松屋,135.532867,34.696808
0000000896,松屋 池上店,松屋,139.703110,35.572395
0000000897,松屋 外環八尾店（マイカリー食堂併設）,松屋,135.614502,34.595215
0000000899,松屋 阪神西宮店,松屋,135.337784,34.736446
0000000900,松屋 梅ヶ丘店,松屋,139.652618,35.656216
0000000901,松屋 鷹の台店,松屋,139.460785,35.723251
0000000903,松屋 鶴ヶ峰店,松屋,139.547195,35.474747
0000000904,松屋 豊中上津島店,松屋,135.461288,34.758350
0000000905,松屋 赤羽東口店,松屋,139.721573,35.778473
0000000906,松屋 大名1丁目店,松屋,130.396423,33.586193
0000000907,松屋 守口市駅前店,松屋,135.565018,34.735718
0000000908,松屋 玉川学園前店,松屋,139.462769,35.563255
0000000909,松屋 豊島園店,松屋,139.649063,35.742050
0000000910,松屋 西大井店,松屋,139.722458,35.601528
0000000911,松屋 富田店,松屋,135.593735,34.836090
0000000912,松屋 草加西口店,松屋,139.802429,35.828304
0000000913,松屋 田無駅前店,松屋,139.539368,35.727753
0000000914,松屋 旭店,松屋,140.650269,35.724499
0000000915,松屋 東久留米南町店（松のや併設）,松屋,139.526093,35.742802
0000000916,松屋 西町店,松屋,141.290863,43.078487
0000000920,松屋 北赤羽店,松屋,139.703995,35.787418
0000000921,松屋 大久保2丁目店,松屋,139.708023,35.702026
0000000923,松屋 武蔵新田店,松屋,139.692184,35.568272
0000000924,松屋 小田急永山店,松屋,139.448013,35.630100
0000000925,松屋 戸塚店,松屋,139.532776,35.400028
0000000926,松屋 市ヶ谷店,松屋,139.736847,35.691456
0000000927,松屋 北越谷店,松屋,139.779953,35.902355
0000000930,松屋 六本木4丁目店,松屋,139.731812,35.664223
0000000932,松屋 曽根店,松屋,135.472488,34.773621
0000000934,松屋 市原白金通店,松屋,140.106155,35.529091
0000000935,松屋 吉塚店,松屋,130.422699,33.606602
0000000936,松屋 西巣鴨店,松屋,139.728500,35.743614
0000000937,松屋 東住吉中野店,松屋,135.540039,34.621124
0000000938,松屋 東戸塚西口店,松屋,139.555908,35.430546
0000000940,松屋 南砂町店,松屋,139.834167,35.670750
0000000942,松屋 八千代台東口店,松屋,140.091843,35.699997
